,designation,country,MTE: designation
15823,L'Estro del Mastro 500 ml,Italy,25.0
15824,Ürziger Würzgarten,Germany,25.0
15825,Le Redini,Italy,25.0
15826,Chronicon,Italy,25.0
15827,K,France,25.0
15828,Turbidity Current,US,25.0
15829,Quinta de Ventozelo Reserva,Portugal,25.0
15830,Késöi Szüret Late Harvest - 500 ml,Hungary,25.0
15831,Atagis,Italy,25.0
15832,Techni Alipiaç Dry,Greece,25.0
15833,Cuvée Compostelle,France,25.0
15834,Vallocaia,Italy,25.0
15835,Aegades,Italy,25.0
15836,Tectonica,Chile,25.0
15837,Grand Cru Reserve,US,25.0
15838,Josephshofer Kabinett,Germany,25.0
15839,Mer Soleil Vineyard Viognier-Marsanne,US,25.0
15840,Menzies The Cigar,Australia,25.0
15841,"Estate Grown, Block 4",US,25.0
15842,Cuvée Exception,France,25.0
15843,Cuvée Brut 30th Anniversary Edition,US,25.0
15844,Select Reserve,US,25.0
15845,Suicide Shift,US,25.0
15846,Taylor's Vineyard Musqué,US,25.0
15847,El Jefe,US,25.0
15848,Quinta do Côa,Portugal,25.0
15849,"Merrillie, EWV Block 32220",US,25.0
15850,Calligraphy,South Africa,25.0
15851,Wallace,Australia,25.0
15852,Old Soul Red Wine,US,25.0
15853,Cuvée Fût de Chêne,France,25.0
15854,Quinta do Carmo Tinto,Portugal,25.0
15855,Laneo,Italy,25.0
15856,Got Away,US,25.0
15857,Cuvée Florès,France,25.0
15858,Quinta do Cardo Reserva,Portugal,25.0
15859,En Travertin,France,25.0
15860,Domaine Beranger,France,25.0
15861,Eric's Small Lot Unoaked,US,25.0
15862,Rastasburn,New Zealand,25.0
15863,P.Mondavi Family Reserve,US,25.0
15864,Apogée,France,25.0
15865,Apiliotis,Greece,25.0
15866,WCF Red,US,25.0
15867,Zachary's Ladder Red Table Wine,US,25.0
15868,Teldeschi Vineyard Old Vine,US,25.0
15869,*%#&@!,US,25.0
15870,Peyre Blanche Cairanne,France,25.0
15871,Californa Cuvee,US,25.0
15872,Vandenberg,US,25.0
15873,Freakout White Wine,US,25.0
15874,Golden Terraces Vineyard,New Zealand,25.0
15875,Cuvée Brut Made With Organically Grown Grapes,US,25.0
15876,Out of Line Red,US,25.0
15877,Fleur Late Harvest,US,25.0
15878,Domaine Cottebrune Transhumance,France,25.0
15879,Goldensong,US,25.0
15880,Grand Monarque Cuvee,US,25.0
15881,Kvevri Wine,Georgia,25.0
15882,Au Contraire French Creek Vineyard,US,25.0
15883,Quinto Elemento Reserva,Portugal,25.0
15884,San Paolo Riserva,Italy,25.0
15885,Domaine Béranger,France,25.0
15886,Atração,US,25.0
15887,Le Rosé de Julie,France,25.0
15888,Domaine Bouvencourt,France,25.0
15889,Valsaia,Italy,25.0
15890,Peàn,Italy,25.0
15891,Grand Cuvée Fournier Vieilles Vignes,France,25.0
15892,Mustang Red,US,25.0
15893,Leithaberg Weiss,Austria,25.0
15894,Valdehermoso Crianza,Spain,25.0
15895,Lealtanza Reserva,Spain,25.0
15896,Select Reserve,Chile,25.0
15897,L'Andéol Rasteau,France,25.0
15898,Yellow Hammer Hill,Australia,25.0
15899,Taraboste Rezerva,Moldova,25.0
15900,Yianakohori,Greece,25.0
15901,Tietjen-Briant,New Zealand,25.0
15902,Agnus Crianza,Spain,25.0
15903,Brut Reserva Special Edition,Spain,25.0
15904,Ravan,Slovenia,25.0
15905,Arroyo Vista Vineyard,US,25.0
15906,Armonia Bianco,Italy,25.0
15907,Elone Mamre Aged in Oak Barrels,Israel,25.0
15908,Watershed,US,25.0
15909,Midnight Red,US,25.0
15910,Quinta do Mourão Rio Bom Colheita,Portugal,25.0
15911,Arroyo Seco Vineyard,US,25.0
15912,La Reina Vineyard,US,25.0
15913,Ariadne,US,25.0
15914,Wedge Block,US,25.0
15915,Cuvée Nicholas,US,25.0
15916,Cuvée Nicolas,US,25.0
15917,Brut Reserva Rosat,Spain,25.0
15918,Elodie,France,25.0
15919,Palisade Red Wine,US,25.0
15920,L'Artista,Italy,25.0
15921,Cuvée Parallel 46 Red,US,25.0
15922,Argetsinger Vineyard Dry,US,25.0
15923,San Carlos Single Vineyard,Chile,25.0
15924,Souzao,US,25.0
15925,Reserve Arena Valley Vineyard Cabernet Sauvignon-Merlot-Malbec-Cabernet Franc,US,25.0
15926,Red Over Heels,US,25.0
15927,Selección Finca Monte Alto,Spain,25.0
15928,Cantine Storiche,Italy,25.0
15929,Arroyo Vista,US,25.0
15930,Ars Mácula,Spain,25.0
15931,Pet Nat Method Ancestral Bassi Vineyard,US,25.0
15932,Cuvée R,France,25.0
15933,Select Late Harvest White Riesling,US,25.0
15934,Reserve Bordonaro Vineyard,US,25.0
15935,Mettenheimer Sauvignon Blanc-Riesling,Germany,25.0
15936,Perbacco,Italy,25.0
15937,El Buho Red Wine,US,25.0
15938,Agiorgitiko by Gaia,Greece,25.0
15939,Esther,US,25.0
15940,Ars Nova,Spain,25.0
15941,Cave Spring Vineyard,Canada,25.0
15942,L'Autentica,Italy,25.0
15943,Gourmand,France,25.0
15944,Cuvée Isabelle,France,25.0
15945,Calvulcura,Argentina,25.0
15946,Artist Series 1,US,25.0
15947,Tatty Road Cabernet Sauvignon - Petit Verdot - Merlot,Australia,25.0
15948,Chignin,France,25.0
15949,Cuvée Leah Grande Cuvée,France,25.0
15950,Cuvée Les Caillottes,France,25.0
15951,Dulcemar,Spain,25.0
15952,Dutton Ranch Green Valley Vineyard,US,25.0
15953,Red Pitt,Austria,25.0
15954,Mystic Vineyard,US,25.0
15955,Wappo Vineyard Reserve,US,25.0
15956,MiP Made in Provence Classic,France,25.0
15957,Franstein Grand Cru,France,25.0
15958,Signature Blend,Argentina,25.0
15959,Samt & Seide,Austria,25.0
15960,Cave B Estate Vineyards,US,25.0
15961,Taste White,US,25.0
15962,Michael's,US,25.0
15963,Warrant Estate Wine,South Africa,25.0
15964,Sino da Romaneira,Portugal,25.0
15965,Thunder,US,25.0
15966,Les Beau Monts,France,25.0
15967,Picolit Borgo di Fradis Soreli A Mont,Italy,25.0
15968,Dissan,Macedonia,25.0
15969,Five Blocks Wren and Temperance Hill,US,25.0
15970,Nectaria Vendimia Tardia Botrytis,Chile,25.0
15971,Ried Weinzierlberg,Austria,25.0
15972,Quixote Merlot-Tempranillo-Petit Verdot,Spain,25.0
15973,Goat Trek Vineyard Block 6,US,25.0
15974,Cuvee 32,US,25.0
15975,Sugar Mountain Vineyard,US,25.0
15976,Peacock Patch Reserve,US,25.0
15977,Great Oaks Ranch,US,25.0
15978,Piedra Roja Block 22,US,25.0
15979,Piegaia Riserva,Italy,25.0
15980,Reserve Lot 13 Tecklenberg Ranch,US,25.0
15981,Cellar 1879 Blend,US,25.0
15982,Three County,US,25.0
15983,Vogelzang Vineyard Rose of,US,25.0
15984,Grand Reserve Trinità,Argentina,25.0
15985,Pecunia,Spain,25.0
15986,PR 3 Barricas,Spain,25.0
15987,Mavie,Austria,25.0
15988,Château Bouscassé Menhir,France,25.0
15989,Volcano Ridge Eruption,US,25.0
15990,Azeo,Portugal,25.0
15991,SHL Estate,US,25.0
15992,Sierras de Málaga Blanco,Spain,25.0
15993,Schnabel Reserve,Austria,25.0
15994,Volcanic Dry,Israel,25.0
15995,Eagle's Select Red Wine,US,25.0
15996,Cuvee de Oro,US,25.0
15997,Domaine Marandy,France,25.0
15998,Château Chevaliers Lagrezette,France,25.0
15999,Aït Soula,Morocco,25.0
16000,Trapío,Spain,25.0
16001,Three Cape Ladies Cape Blend,South Africa,25.0
16002,Glogglhof St. Magdalener Classico,Italy,25.0
16003,Late Harvest Cluster Select,US,25.0
16004,Baby Blue,US,25.0
16005,Viña Lanciano Reserva,Spain,25.0
16006,Late Harvest Chenin Blanc,US,25.0
16007,Jet Black Destiny Ridge Vineyard,US,25.0
16008,Glenrose Vineyard Roussanne-Grenache Blanc,US,25.0
16009,Söll,Italy,25.0
16010,Erse Bianco,Italy,25.0
16011,Castle Hill Vineyard,US,25.0
16012,La Platière,France,25.0
16013,La Chapelle Gordonne,France,25.0
16014,Late Harvest Estate Bottled and Grown,US,25.0
16015,Ricci Vyd,US,25.0
16016,Terlaner Classico,Italy,25.0
16017,Erse Rosso,Italy,25.0
16018,Viña Lanciano Single Vineyard Reserva,Spain,25.0
16019,Piesporter Goldtröpfchen Erste Lage Kabinett,Germany,25.0
16020,Estate DCV3,US,25.0
16021,Sangiacomo Vineyard Donnel Ranch,US,25.0
16022,Le Renard,France,25.0
16023,Seduction,US,25.0
16024,Cellar No. 7 Tawny,Australia,25.0
16025,Les Barras,France,25.0
16026,Acquadoro,Italy,25.0
16027,Monarch Mine,US,25.0
16028,Monarch,US,25.0
16029,Solpost,Spain,25.0
16030,French Connection,US,25.0
16031,Yarden Blanc de Blancs Brut,Israel,25.0
16032,Fontabuccio,Italy,25.0
16033,Cuvée de la Platière,France,25.0
16034,Massara Vineyard,US,25.0
16035,Las Patolitas,US,25.0
16036,Grandmére,US,25.0
16037,Las Ocho,Spain,25.0
16038,Vorder Seiber Federspiel,Austria,25.0
16039,Domaine Grand Veneur Blanc de,France,25.0
16040,Meadow Creek,Australia,25.0
16041,Temptation,US,25.0
16042,Folin Vineyard,US,25.0
16043,Cuvée Alix,France,25.0
16044,Cuvée Alexandre Las Kuras Vineyard Made with Organic Grapes,Chile,25.0
16045,Woods Vineyard Rosé of,US,25.0
16046,Cuvée Alexandre Atalayas Vineyard Made with Organic Grapes,Chile,25.0
16047,Kudos,Italy,25.0
16048,La Boheme,US,25.0
16049,Triumph,US,25.0
16050,Aparicio,US,25.0
16051,Anzil,Spain,25.0
16052,Kràtos,Italy,25.0
16053,Grand Vin de Glenelly,South Africa,25.0
16054,Grand Vin Bourgeois,Lebanon,25.0
16055,Quinta de Cidrô,Portugal,25.0
16056,Temple,Spain,25.0
16057,Quinta de Cidrô Reserva,Portugal,25.0
16058,Cuvée Silice,France,25.0
16059,La Caudrilla,US,25.0
16060,Apfel Eis Apple Ice Wine,US,25.0
16061,Westerly Vineyard,US,25.0
16062,Three Vineyards Red,US,25.0
16063,Philippe,France,25.0
16064,Larry Venturi Vineyard,US,25.0
16065,Phil's Selection,US,25.0
16066,Medium Dry Kabinett,Germany,25.0
16067,Phi,US,25.0
16068,K,Italy,25.0
16069,San Remo Seven Hills Vineyard,US,25.0
16070,Cuvée Sparkling Wine,Australia,25.0
16071,Sekt Brut,Germany,25.0
16072,Richard Sauret Vineyards,US,25.0
16073,Seigneur de Grézette,France,25.0
16074,Laurel Vineyard,Chile,25.0
16075,Otis Vineyard Old Vines,US,25.0
16076,Goettweiger Berg,Austria,25.0
16077,Ero,Italy,25.0
16078,Cuvée 113,Hungary,25.0
16079,Vom Berg,Austria,25.0
16080,T.H. Alto Maipo,Chile,25.0
16081,Red Heaven,US,25.0
16082,Volvoreta Probus,Spain,25.0
16083,Otima 10-year old tawny,Portugal,25.0
16084,Wetzel Family Estate Reserve,US,25.0
16085,10 Anos Tawny,Portugal,25.0
16086,Leopardi Rosé Reserva Brut,Spain,25.0
16087,Reserve Kosher Petite Sirah-Zinfandel,Israel,25.0
16088,Grande Reserve Terroir Selection,Argentina,25.0
16089,Cuvée Tenuta Val de Brun Millesimato Extra Dry,Italy,25.0
16090,Modus,Italy,25.0
16091,TMV,South Africa,25.0
16092,Adaro de Prado Rey Crianza,Spain,25.0
16093,Grande Encontro,Portugal,25.0
16094,Cuvée T Brut,France,25.0
16095,Domaine Grand Veneur Les Champauvins,France,25.0
16096,Selecto,Spain,25.0
16097,L'Empreinte de Saint-Mont,France,25.0
16098,Cuvée Alexandre - Apalta Vineyard,Chile,25.0
16099,McDermaid Family Vineyard,US,25.0
16100,Antiche Viti Reserva,US,25.0
16101,Peloton Red Wine,US,25.0
16102,Ottagono Riserva,Italy,25.0
16103,Selections Pfeiffer Wines,Australia,25.0
16104,Ernesto Wickenden Old Vines,US,25.0
16105,Map Maker Pure,New Zealand,25.0
16106,Behler Reserve,US,25.0
16107,Ruby Reserva,Portugal,25.0
16108,L'eclaireur,Australia,25.0
16109,Nußberg Alte Reben,Austria,25.0
16110,Feliz Vineyard Select,US,25.0
16111,Scotsdale,Australia,25.0
16112,Lola Red,US,25.0
16113,Hundspoint,Austria,25.0
16114,Redemption Zin,US,25.0
16115,Loisium,Austria,25.0
16116,Paladino,Italy,25.0
16117,Prince Rubis,France,25.0
16118,Vertente,Portugal,25.0
16119,The Gimblett,New Zealand,25.0
16120,Amauta I Malbec-Cabernet-Syrah,Argentina,25.0
16121,Symphonie d'Automne,France,25.0
16122,Le Paradis Saint-Pierre,France,25.0
16123,Loibner Federspiel,Austria,25.0
16124,Double T,US,25.0
16125,Humbaba,US,25.0
16126,Rominger Vineyard,US,25.0
16127,The Last Ditch,Australia,25.0
16128,Bishop's,US,25.0
16129,DCV3,US,25.0
16130,Vigneto Pasau,Italy,25.0
16131,Moutier Amet,France,25.0
16132,Long-Bomb Edition Two,US,25.0
16133,House Family Vineyards,US,25.0
16134,Dutton Ranch George Vineyard,US,25.0
16135,Quartette,US,25.0
16136,Vigneto Le Novaje,Italy,25.0
16137,Quarry Butte Destiny Ridge Vineyards Estate Grown,US,25.0
16138,Vigneto I Cantoni,Italy,25.0
16139,Lone Rider Premium Selection Estate Bottled,Chile,25.0
16140,Lone Redwood Ranch,US,25.0
16141,Estate Dijon Clones Selection,US,25.0
16142,Wormser Liebfrauenstift Kirchenstück Sekt Brut,Germany,25.0
16143,DCV3 Estate,US,25.0
16144,Collector's Series,US,25.0
16145,Collection Blanco,Spain,25.0
16146,Fazioli,France,25.0
16147,Hyppos,France,25.0
16148,Les Mauvarennes,France,25.0
16149,Spotted Owl,US,25.0
16150,Deep Cove,New Zealand,25.0
16151,Cold Smoke,US,25.0
16152,Colbertina,Italy,25.0
16153,Trinity,US,25.0
16154,Parada de Atauta,Spain,25.0
16155,Spofford Station,US,25.0
16156,Vigne di Catullo,Italy,25.0
16157,Spätlese Trocken,Germany,25.0
16158,Private Reserve Estate Grown,US,25.0
16159,Inspiration,US,25.0
16160,Solera 1927,Spain,25.0
16161,Spitfire Red,US,25.0
16162,Dalrymple Vineyard Select Harvest,US,25.0
16163,Ice,US,25.0
16164,Iced,US,25.0
16165,Dal Re,Italy,25.0
16166,Àn/2,Spain,25.0
16167,Amante Special Selection,US,25.0
16168,Detour,US,25.0
16169,Interlude Red,US,25.0
16170,Casa Vittorino Millesimato Brut Rive di Refrontolo,Italy,25.0
16171,Chapitre 9,France,25.0
16172,Lodestone Estate Grown,US,25.0
16173,Dylan,US,25.0
16174,I Cantoni,Italy,25.0
16175,Nana's Vineyard,US,25.0
16176,I Frati,Italy,25.0
16177,Alegoría Gran Reserva,Argentina,25.0
16178,Dragone,Italy,25.0
16179,Dragonfly,US,25.0
16180,The Short Story Collection - The Owl Post,South Africa,25.0
16181,Live Oak,US,25.0
16182,Colheita Sweet,Portugal,25.0
16183,Fé Reserva,Spain,25.0
16184,Horseplay Estate,US,25.0
16185,Monzinger Frühlingsplätzchen Kabinett,Germany,25.0
16186,Le Creete,Italy,25.0
16187,C21,Spain,25.0
16188,Drysack Solera Especial Sweet Old Olorosso Aged 15 Years,Spain,25.0
16189,Coyote Vineyard Reserve,US,25.0
16190,Islay Peak,US,25.0
16191,Würzburger Abtsleite Kabinett Trocken,Germany,25.0
16192,60% Sémillon-19% Sauvignon-21% Muscadelle,US,25.0
16193,Les Fées Brunes,France,25.0
16194,C5 Stefani Vineyard,US,25.0
16195,Estate Dijon Clone,US,25.0
16196,Dei Du Rocchi Ranch Fog Line,US,25.0
16197,Soliter,Italy,25.0
16198,Ciel du Cheval Vineyard Roussanne,US,25.0
16199,Cimarron,US,25.0
16200,Olho de Mocho Reserva Branco,Portugal,25.0
16201,Chalk Line,US,25.0
16202,Upstream,US,25.0
16203,The Cry Baby Late Harvest,US,25.0
16204,Isolation Ridge Vineyard Dry,Australia,25.0
16205,Treasure Valley Reserves,US,25.0
16206,Boushey Vineyard Sirocco Blanc,US,25.0
16207,Gemini White Wine,US,25.0
16208,Big Break,US,25.0
16209,76 West,US,25.0
16210,70% Sémillon/26% Sauvignon/4% Muscadelle,US,25.0
16211,Hochar Père et Fils,Lebanon,25.0
16212,Kammerner Heiligenstein,Austria,25.0
16213,Saralee's Vineyard Reserve,US,25.0
16214,Premiere Reserve,US,25.0
16215,Brutalis,Portugal,25.0
16216,Riserva Il Novecento,Italy,25.0
16217,Fifth Generation,Israel,25.0
16218,Queen of Tides,US,25.0
16219,Esporão Private Selection,Portugal,25.0
16220,Novaserra,Italy,25.0
16221,Premium Touriga Nacional/Cabernet Sauvigon,Portugal,25.0
16222,Rose of Syrah,US,25.0
16223,Le Cloître de Sainte Roseline,France,25.0
16224,Dona Santana,Portugal,25.0
16225,Nussberg Alte Reben,Austria,25.0
16226,"Sleeper Vineyard, Old Vine",US,25.0
16227,Single Vineyard La Capilla Estate,Chile,25.0
16228,Bourgogne Chardonnay,France,25.0
16229,1423 Reserva,Spain,25.0
16230,Cipreses Vineyard,Chile,25.0
16231,Epic Reserve,US,25.0
16232,Cardinal Cusanus Stiftswein Graacher Himmelreich Auslese,Germany,25.0
16233,Seta White Wine,US,25.0
16234,Ambiance Roussanne-Grenache Blanc-Marsanne-Viognier,US,25.0
16235,Off The Rack,Australia,25.0
16236,Red Wing Red,US,25.0
16237,Primo Castelliere delle Guaite,Italy,25.0
16238,Nussberg,Austria,25.0
16239,Founder's Collection,Chile,25.0
16240,Monzinger Frühlingsplätzchen Auslese,Germany,25.0
16241,Chateau de Fontaine-Audon Terroir Silex,France,25.0
16242,Riserva Superiore,Italy,25.0
16243,L'altro Manzoni Maso Franch,Italy,25.0
16244,Cinnabar Grenache-Tempranillo-Shiraz,Australia,25.0
16245,Reserva Sinergy,Argentina,25.0
16246,Montornello,Italy,25.0
16247,The Dark Side,US,25.0
16248,Lot 100,US,25.0
16249,Riserva Rocca Guicciarda,Italy,25.0
16250,Holbrook Mitchell Trio Red Wine,US,25.0
16251,Ameritage,US,25.0
16252,Gelbling Reserve,Austria,25.0
16253,Prieuré de Cenac,France,25.0
16254,Isaac's Reserve,US,25.0
16255,Alder Ridge Vineyard La Montagnette,US,25.0
16256,D.O.C. Single Vineyard,Argentina,25.0
16257,Rosacroce Uvaggio Bianco,Italy,25.0
16258,Sunny View Vineyard,US,25.0
16259,Sassabruna,Italy,25.0
16260,Rosacroce,Italy,25.0
16261,Sonoma Estates,US,25.0
16262,Single Vineyard Old Vine,Australia,25.0
16263,Tolsosa Vineyard Estate,US,25.0
16264,Upper Russian River,US,25.0
16265,Blue Chip,US,25.0
16266,Le Marquis de Calon Ségur,France,25.0
16267,Blow Sands,US,25.0
16268,Pagos de Tahola Reserva,Spain,25.0
16269,Devil's Daughter,US,25.0
16270,Parcela #7 Gran Reserva,Chile,25.0
16271,1865 Limited Edition,Chile,25.0
16272,Blue,US,25.0
16273,Gabriel,US,25.0
16274,Blocks 9 & 21,US,25.0
16275,Il Valpolicella Ripasso,Italy,25.0
16276,Sonas,US,25.0
16277,Ra'is 500ml,Italy,25.0
16278,VGS Explorer,US,25.0
16279,Robert Young Vineyard,US,25.0
16280,Edition Adele Blanc de Blancs,Austria,25.0
16281,Sur le Fort,France,25.0
16282,Carte Corail Brut Rosé,France,25.0
16283,Robusto Red,US,25.0
16284,Family Vineyards Organic Legacy Old Vines Single Vineyard,Argentina,25.0
16285,Obra,Argentina,25.0
16286,Claudia Viognier-Assyrtiko,Greece,25.0
16287,Letter Series B,New Zealand,25.0
16288,Engelreich,Austria,25.0
16289,Dutton Ranch Shop Block,US,25.0
16290,Psi,US,25.0
16291,Endless Crush OGV Estate Rosé of,US,25.0
16292,Bonfire,US,25.0
16293,Evinos,Greece,25.0
16294,Blocks 19 & 20 Dijon Clones,US,25.0
16295,Schwarzer Adler,Germany,25.0
16296,Block II,US,25.0
16297,Raboso,Italy,25.0
16298,Clos Triguedina Le Sec du Clos,France,25.0
16299,The Norseman,US,25.0
16300,Victorya,Italy,25.0
16301,Charles de Batz,France,25.0
16302,Puntay,Italy,25.0
16303,Pur Chardonnay,France,25.0
16304,Pur Pinot Noir Brut,France,25.0
16305,Essencia Trockenbeerenauslese,Austria,25.0
16306,Impetu,Mexico,25.0
16307,Putnam Vineyard Rosé of,US,25.0
16308,Fall Creek Vineyard Old Vine,US,25.0
16309,Rivers Ranch,US,25.0
16310,Altitud,Argentina,25.0
16311,Reliz Creek,US,25.0
16312,Bodog Red,US,25.0
16313,Reserva Viña Hormigas,Argentina,25.0
16314,Estate Dry QbA,Germany,25.0
16315,Bois Seguin,France,25.0
16316,Bunk House White,US,25.0
16317,Shellback,US,25.0
16318,Winemaker's Release Rosé of,US,25.0
16319,The Offering,US,25.0
16320,Vieille Vignes,France,25.0
16321,The Old Barossa Blend,Australia,25.0
16322,Vidal Ice,US,25.0
16323,Vif Red Wine,US,25.0
16324,Purisima Mountain Vineyard Grenache,US,25.0
16325,Dean Block,US,25.0
16326,Clifton,US,25.0
16327,Turm-Exquisit Brut Sekt Pinot Blanc de Noir,Germany,25.0
16328,Canis Major Perotti Vineyard,US,25.0
16329,Devon,Italy,25.0
16330,Shannon Ranch,US,25.0
16331,Purisima Mountain,US,25.0
16332,the reverend,US,25.0
16333,Indie,US,25.0
16334,Fowler Vineyard,US,25.0
16335,Canis Major Unti Vineyard,US,25.0
16336,Toasted Head Giguiere Ranch,US,25.0
16337,Fox Hill Vineyard,US,25.0
16338,Road Block Reserve,US,25.0
16339,Rkatsiteli-Sereksiya,US,25.0
16340,Buleria Fino,Spain,25.0
16341,Burggarten,Austria,25.0
16342,Block 4SB20,US,25.0
16343,Gaiospino,Italy,25.0
16344,Limed-Edition,US,25.0
16345,Le Grand Rossignol du Château Lamothe Vincent,France,25.0
16346,Morgado de Santa Catherina Reserva,Portugal,25.0
16347,Limited Collection,Spain,25.0
16348,Saurus Barrel Fermented,Argentina,25.0
16349,Il Circo Rosso Riserva,Italy,25.0
16350,Limestone Ridge at Vista Verde Vineyard,US,25.0
16351,Olsen Vineyard,US,25.0
16352,The Monster,US,25.0
16353,Butchers Block,Australia,25.0
16354,Damascenos Red Wine Fumé,Greece,25.0
16355,Il Drago e le Sette Colombe,Italy,25.0
16356,Oak Select,US,25.0
16357,Cluny,Australia,25.0
16358,Estate Côte de Madrone Blanc,US,25.0
16359,Red Café,US,25.0
16360,Lillie,US,25.0
16361,Blend #5,US,25.0
16362,Park Blend,US,25.0
16363,Innovation,US,25.0
16364,Drysack Solera Especial Sweet Old Oloroso Aged 15 Years,Spain,25.0
16365,Le Grance Sant'Antimo,Italy,25.0
16366,Vi No SO2,Italy,25.0
16367,Casa Conforto Riserva,Italy,25.0
16368,The Riebke Ebenezer Road,Australia,25.0
16369,Super,US,25.0
16370,Coda Red,US,25.0
16371,Switchback Red,US,25.0
16372,Inspiración Las Canteras,Spain,25.0
16373,Blauer Trocken,Germany,25.0
16374,Titiana Brut Rosé,Spain,25.0
16375,Willow Creek Farm Rosé of,US,25.0
16376,Le Grand Cros La Maîtresse Rosé Brut,France,25.0
16377,Edición Limitada Gran Reserva de Los Andes,Chile,25.0
16378,The Mayor,US,25.0
16379,Su'skol Vineyard,US,25.0
16380,Blendo,US,25.0
16381,Cartizze Cuvée Viviana,Italy,25.0
16382,Il Repertorio,Italy,25.0
16383,Block 2 Vineyard,US,25.0
16384,Block 007 Estate Vineyard,US,25.0
16385,October Night,US,25.0
16386,Block 11 Old Vines,US,25.0
16387,Reserva Tempranillo-Graciano,Spain,25.0
16388,Enlace,US,25.0
16389,Prova d'Autore,Italy,25.0
16390,Liage,US,25.0
16391,Roccolo del Durlo,Italy,25.0
16392,Eleanor of Aquitaine,US,25.0
16393,Sauvignon-Semillon,New Zealand,25.0
16394,Clos des Hâtes,France,25.0
16395,la Tulipe,France,25.0
16396,Swallowtail,US,25.0
16397,Sommer Vineyard,US,25.0
16398,Dario Estate,US,25.0
16399,Roccardo,Italy,25.0
16400,Bloc E,US,25.0
16401,October Night Vineyard,US,25.0
16402,Bliss Vineyard Estate Bottled,US,25.0
16403,Kanzemer Altenberg,Germany,25.0
16404,Il Ladro,US,25.0
16405,Lieu-dit Harth Tradition,France,25.0
16406,The Pundit,US,25.0
16407,Le Lien,France,25.0
16408,Sivi Pinot,Slovenia,25.0
16409,Lieu Dit Hohrain,France,25.0
16410,3 Divas,US,25.0
16411,Proprietor's Reserve Tudor Hills Vineyard,US,25.0
16412,Clos du Pressoir,France,25.0
16413,Cartagho,Italy,25.0
16414,Galî Evreshe,Turkey,25.0
16415,Il Messia,Italy,25.0
16416,Libra,US,25.0
16417,Rochettevino,Italy,25.0
16418,Inherit Red Wine,US,25.0
16419,Don Paolo,Italy,25.0
16420,Enrico IV Bianco,Italy,25.0
16421,Synnove,US,25.0
16422,Fabio Contato,Italy,25.0
16423,AR Guentota,Argentina,25.0
16424,Single Clone No. 198 Reserve,US,25.0
16425,Zinfandel Port,US,25.0
16426,Encanto,US,25.0
16427,Zinfandel Port III,US,25.0
16428,Schenkenberg,France,25.0
16429,Poggio Scalette,Italy,25.0
16430,Bric del Baio,Italy,25.0
16431,Heart of the Hill,US,25.0
16432,Winkl,Italy,25.0
16433,Bell Mountain Ranch Red,US,25.0
16434,Poggio al Moro,Italy,25.0
16435,ADM Crianza,Spain,25.0
16436,Sons and Daughters Ranch Estate,US,25.0
16437,Row 42,Australia,25.0
16438,The Yard Whispering Hill Vineyard,Australia,25.0
16439,Esola Vineyard Old Vine,US,25.0
16440,Sea-Fog,US,25.0
16441,Cortinie Bianco,Italy,25.0
16442,Poggio Maestrino Annosesto,Italy,25.0
16443,Almond Flat,US,25.0
16444,Hawk Creek Vineyard,US,25.0
16445,Val do Salnés,Spain,25.0
16446,Bechtheimer Trocken,Germany,25.0
16447,Carpy Ranch,US,25.0
16448,Torre d'Orti Morari,Italy,25.0
16449,Domaine des Emois,France,25.0
16450,Estate Late Harvest White,US,25.0
16451,Aamackhnoc,Greece,25.0
16452,Klipsun Vineyard Blanc,US,25.0
16453,Steinbeck Vineyard 64% Christian-Lazo 36%,US,25.0
16454,AR Guentota Old Vine,Argentina,25.0
16455,Carlo Gancia Cuvée Platinum,Italy,25.0
16456,Corvino Bosco Vineyard,US,25.0
16457,River's Edge Casscles Vineyards,US,25.0
16458,Estate Bottled Ice Wine,US,25.0
16459,Corty Artisan Silex,France,25.0
16460,Bella Novello,US,25.0
16461,Madder Lake Vineyard,US,25.0
16462,Les Christins,France,25.0
16463,Brut Zero,South Africa,25.0
16464,Non Filtré,France,25.0
16465,Les Clauses,France,25.0
16466,Shorebird Conner Lee Vineyard,US,25.0
16467,Core,Italy,25.0
16468,Twisted Sisters Main Squeeze,US,25.0
16469,Henry's Blend,US,25.0
16470,Roulette Blanc,South Africa,25.0
16471,Rough House Red,US,25.0
16472,Hellcat Red,US,25.0
16473,The Augur Kick On Ranch Vineyard,US,25.0
16474,Le Berger,France,25.0
16475,Rouge de Noirs Brut,US,25.0
16476,Noname Dolceacqua,Italy,25.0
16477,Jackson James,US,25.0
16478,Ceppitaio,Italy,25.0
16479,Le Bine,Italy,25.0
16480,Non Confunditur,Italy,25.0
16481,Pojega,Italy,25.0
16482,Casal di Serra Vecchie Vigne,Italy,25.0
16483,Macchiarossa,Italy,25.0
16484,Vinha da Cátedra,Portugal,25.0
16485,Poggioncino,Italy,25.0
16486,Corte Cariano,Italy,25.0
16487,PoiZin,US,25.0
16488,Corte B,Argentina,25.0
16489,Noir de Noirs Old Vines,US,25.0
16490,Cab Nation,US,25.0
16491,Vendimia Tardía,Chile,25.0
16492,Egarade Brut,France,25.0
16493,Vendimia Tardía Late Harvest,Chile,25.0
16494,Belleza Fra,US,25.0
16495,Maat,Mexico,25.0
